Vardas	Pavarde	ND1	ND2	ND3	Egz.
Vardas364	Pavarde364	5	6	5	1
Vardas365	Pavarde365	5	1	7	5
Vardas366	Pavarde366	2	5	2	5
Vardas367	Pavarde367	6	4	5	8
Vardas368	Pavarde368	7	3	4	5
Vardas369	Pavarde369	9	9	2	2
Vardas370	Pavarde370	9	5	7	10
Vardas371	Pavarde371	9	3	3	1
Vardas372	Pavarde372	9	4	4	9
Vardas373	Pavarde373	7	10	9	5
Vardas374	Pavarde374	1	7	4	7
Vardas375	Pavarde375	1	6	2	5
Vardas376	Pavarde376	5	3	7	8
Vardas377	Pavarde377	10	2	5	7
Vardas378	Pavarde378	5	6	6	3
Vardas379	Pavarde379	5	1	2	2
Vardas380	Pavarde380	8	10	6	2
Vardas381	Pavarde381	10	1	3	8
Vardas382	Pavarde382	10	6	2	4
Vardas383	Pavarde383	1	8	9	1
Vardas384	Pavarde384	8	3	4	4
Vardas385	Pavarde385	10	9	4	5
Vardas386	Pavarde386	4	9	6	5
Vardas387	Pavarde387	4	10	2	8
Vardas388	Pavarde388	9	7	3	4
Vardas389	Pavarde389	2	7	10	3
Vardas390	Pavarde390	4	7	9	4
Vardas391	Pavarde391	4	3	6	1
Vardas392	Pavarde392	4	5	3	5
Vardas393	Pavarde393	6	7	10	4
Vardas394	Pavarde394	7	4	9	9
Vardas395	Pavarde395	6	6	7	6
Vardas396	Pavarde396	9	4	2	1
Vardas397	Pavarde397	9	5	6	10
Vardas398	Pavarde398	1	10	5	5
Vardas399	Pavarde399	2	9	1	1
Vardas400	Pavarde400	8	9	4	2
Vardas401	Pavarde401	4	10	1	9
Vardas402	Pavarde402	8	1	10	7
Vardas403	Pavarde403	6	1	1	1
Vardas404	Pavarde404	4	2	9	4
Vardas405	Pavarde405	3	2	9	4
Vardas406	Pavarde406	1	9	3	4
Vardas407	Pavarde407	8	9	10	4
Vardas408	Pavarde408	7	9	6	8
Vardas409	Pavarde409	5	6	3	8
Vardas410	Pavarde410	9	6	6	9
Vardas411	Pavarde411	7	3	7	1
Vardas412	Pavarde412	1	5	1	3
Vardas413	Pavarde413	6	7	1	10
Vardas414	Pavarde414	2	5	7	8
Vardas415	Pavarde415	10	5	3	9
Vardas416	Pavarde416	7	4	1	5
Vardas417	Pavarde417	6	5	2	7
Vardas418	Pavarde418	4	7	3	1
Vardas419	Pavarde419	10	6	10	4
Vardas420	Pavarde420	9	9	4	10
Vardas421	Pavarde421	3	6	6	10
Vardas422	Pavarde422	3	2	6	3
Vardas423	Pavarde423	7	7	8	1
Vardas424	Pavarde424	5	10	8	6
Vardas425	Pavarde425	8	1	8	1
Vardas426	Pavarde426	9	10	3	5
Vardas427	Pavarde427	6	9	2	10
Vardas428	Pavarde428	6	2	5	4
Vardas429	Pavarde429	2	3	4	7
Vardas430	Pavarde430	8	10	10	2
Vardas431	Pavarde431	6	4	3	4
Vardas432	Pavarde432	5	4	8	1
Vardas433	Pavarde433	4	10	10	8
Vardas434	Pavarde434	10	7	5	6
Vardas435	Pavarde435	1	4	6	2
Vardas436	Pavarde436	4	10	6	8
Vardas437	Pavarde437	6	10	6	8
Vardas438	Pavarde438	7	5	10	9
Vardas439	Pavarde439	10	2	8	2
Vardas440	Pavarde440	7	5	5	2
Vardas441	Pavarde441	4	7	6	9
Vardas442	Pavarde442	4	5	9	10
Vardas443	Pavarde443	1	5	9	3
Vardas444	Pavarde444	6	6	10	8
Vardas445	Pavarde445	10	5	7	4
Vardas446	Pavarde446	5	10	8	10
Vardas447	Pavarde447	8	4	1	8
Vardas448	Pavarde448	6	2	5	8
Vardas449	Pavarde449	4	1	7	7
Vardas450	Pavarde450	6	10	8	5
Vardas451	Pavarde451	5	6	5	3
Vardas452	Pavarde452	2	4	8	6
Vardas453	Pavarde453	10	9	2	2
Vardas454	Pavarde454	1	8	3	2
Vardas455	Pavarde455	4	9	10	8
Vardas456	Pavarde456	2	5	7	5
Vardas457	Pavarde457	1	8	2	3
Vardas458	Pavarde458	10	9	10	4
Vardas459	Pavarde459	2	2	7	3
Vardas460	Pavarde460	4	2	4	8
Vardas461	Pavarde461	1	7	4	4
Vardas462	Pavarde462	4	7	5	1
Vardas463	Pavarde463	10	1	5	6
Vardas464	Pavarde464	3	6	1	7
Vardas465	Pavarde465	4	2	5	4
Vardas466	Pavarde466	6	7	9	7
Vardas467	Pavarde467	4	3	1	2
Vardas468	Pavarde468	5	5	10	8
Vardas469	Pavarde469	9	3	8	3
Vardas470	Pavarde470	3	4	8	3
Vardas471	Pavarde471	6	7	1	9
Vardas472	Pavarde472	3	3	10	10
Vardas473	Pavarde473	5	3	8	9
Vardas474	Pavarde474	8	5	9	6
Vardas475	Pavarde475	3	9	9	1
Vardas476	Pavarde476	3	9	3	7
Vardas477	Pavarde477	4	1	1	9
Vardas478	Pavarde478	8	1	9	4
Vardas479	Pavarde479	9	10	9	10
Vardas480	Pavarde480	9	6	5	3
Vardas481	Pavarde481	4	5	4	1
Vardas482	Pavarde482	6	1	5	10
Vardas483	Pavarde483	8	4	9	2
Vardas484	Pavarde484	6	9	4	3
Vardas485	Pavarde485	2	10	9	5
Vardas486	Pavarde486	4	4	2	6
Vardas487	Pavarde487	7	10	2	10
Vardas488	Pavarde488	1	7	1	9
Vardas489	Pavarde489	9	5	8	7
Vardas490	Pavarde490	3	6	10	6
Vardas491	Pavarde491	5	3	3	8
Vardas492	Pavarde492	2	1	1	10
Vardas493	Pavarde493	1	5	1	6
Vardas494	Pavarde494	8	8	5	8
Vardas495	Pavarde495	10	2	9	1
Vardas496	Pavarde496	5	1	5	1
Vardas497	Pavarde497	1	2	10	3
Vardas498	Pavarde498	8	4	1	2
Vardas499	Pavarde499	10	7	6	6
Vardas500	Pavarde500	7	4	4	6
Vardas501	Pavarde501	6	10	6	9
Vardas502	Pavarde502	2	1	9	3
Vardas503	Pavarde503	9	8	2	6
Vardas504	Pavarde504	8	10	4	9
Vardas505	Pavarde505	9	7	4	2
Vardas506	Pavarde506	5	5	4	8
Vardas507	Pavarde507	2	6	10	10
Vardas508	Pavarde508	2	8	5	2
Vardas509	Pavarde509	10	3	5	8
Vardas510	Pavarde510	8	6	1	7
Vardas511	Pavarde511	8	4	3	7
Vardas512	Pavarde512	3	5	1	5
Vardas513	Pavarde513	10	9	1	9
Vardas514	Pavarde514	7	4	4	5
Vardas515	Pavarde515	10	3	2	7
Vardas516	Pavarde516	6	5	7	9
Vardas517	Pavarde517	5	8	7	8
Vardas518	Pavarde518	8	5	8	7
Vardas519	Pavarde519	8	4	8	2
Vardas520	Pavarde520	10	1	8	5
Vardas521	Pavarde521	3	7	7	3
Vardas522	Pavarde522	6	3	7	5
Vardas523	Pavarde523	4	6	2	6
Vardas524	Pavarde524	9	8	9	2
Vardas525	Pavarde525	1	5	3	4
Vardas526	Pavarde526	5	8	6	1
Vardas527	Pavarde527	6	10	1	10
Vardas528	Pavarde528	5	10	7	6
Vardas529	Pavarde529	9	4	10	9
Vardas530	Pavarde530	4	1	3	3
Vardas531	Pavarde531	3	5	4	3
Vardas532	Pavarde532	1	9	1	7
Vardas533	Pavarde533	8	10	8	10
Vardas534	Pavarde534	1	8	7	3
Vardas535	Pavarde535	8	4	1	10
Vardas536	Pavarde536	4	5	5	9
Vardas537	Pavarde537	6	6	2	7
Vardas538	Pavarde538	8	1	8	4
Vardas539	Pavarde539	4	4	3	6
Vardas540	Pavarde540	3	7	9	10
Vardas541	Pavarde541	6	6	3	2
Vardas542	Pavarde542	3	3	6	8
Vardas543	Pavarde543	9	4	4	9
Vardas544	Pavarde544	7	10	4	7
Vardas545	Pavarde545	10	8	10	7
Vardas546	Pavarde546	4	1	5	4
Vardas547	Pavarde547	3	7	5	4
Vardas548	Pavarde548	7	5	5	1
Vardas549	Pavarde549	3	10	9	2
Vardas550	Pavarde550	4	7	1	2
Vardas551	Pavarde551	2	9	5	4
Vardas552	Pavarde552	8	10	4	7
Vardas553	Pavarde553	8	1	10	2
Vardas554	Pavarde554	7	4	2	3
Vardas555	Pavarde555	6	4	8	3
Vardas556	Pavarde556	9	4	3	4
Vardas557	Pavarde557	7	7	3	4
Vardas558	Pavarde558	6	6	6	5
Vardas559	Pavarde559	8	4	9	7
Vardas560	Pavarde560	3	5	1	2
Vardas561	Pavarde561	10	5	8	3
Vardas562	Pavarde562	8	1	10	3
Vardas563	Pavarde563	2	3	8	7
Vardas564	Pavarde564	3	10	6	1
Vardas565	Pavarde565	2	2	7	1
Vardas566	Pavarde566	10	7	2	2
Vardas567	Pavarde567	9	10	7	1
Vardas568	Pavarde568	9	2	4	4
Vardas569	Pavarde569	4	10	9	2
Vardas570	Pavarde570	4	10	3	4
Vardas571	Pavarde571	9	7	1	2
Vardas572	Pavarde572	10	3	7	7
Vardas573	Pavarde573	7	5	10	9
Vardas574	Pavarde574	7	6	2	7
Vardas575	Pavarde575	5	8	3	3
Vardas576	Pavarde576	3	2	3	10
Vardas577	Pavarde577	2	9	9	5
Vardas578	Pavarde578	6	5	3	3
Vardas579	Pavarde579	5	9	7	9
Vardas580	Pavarde580	10	9	4	8
Vardas581	Pavarde581	1	8	5	1
Vardas582	Pavarde582	8	1	1	2
Vardas583	Pavarde583	7	8	6	5
Vardas584	Pavarde584	10	7	4	10
Vardas585	Pavarde585	9	9	2	5
Vardas586	Pavarde586	4	7	5	2
Vardas587	Pavarde587	9	4	7	10
Vardas588	Pavarde588	4	5	4	2
Vardas589	Pavarde589	1	8	3	9
Vardas590	Pavarde590	1	5	7	7
Vardas591	Pavarde591	6	3	9	6
Vardas592	Pavarde592	9	3	8	8
Vardas593	Pavarde593	3	8	4	10
Vardas594	Pavarde594	5	9	7	1
Vardas595	Pavarde595	2	8	6	4
Vardas596	Pavarde596	2	4	3	2
Vardas597	Pavarde597	7	9	2	5
Vardas598	Pavarde598	1	8	5	5
Vardas599	Pavarde599	8	7	8	7
Vardas600	Pavarde600	9	5	5	1
Vardas601	Pavarde601	5	1	1	8
Vardas602	Pavarde602	9	2	8	4
Vardas603	Pavarde603	3	10	2	8
Vardas604	Pavarde604	8	7	6	9
Vardas605	Pavarde605	2	4	5	3
Vardas606	Pavarde606	3	4	2	2
Vardas607	Pavarde607	10	10	6	6
Vardas608	Pavarde608	7	10	5	5
Vardas609	Pavarde609	9	4	8	5
Vardas610	Pavarde610	10	3	3	4
Vardas611	Pavarde611	6	8	1	5
Vardas612	Pavarde612	5	9	7	5
Vardas613	Pavarde613	3	9	10	5
Vardas614	Pavarde614	7	3	8	1
Vardas615	Pavarde615	9	2	6	2
Vardas616	Pavarde616	4	8	7	3
Vardas617	Pavarde617	7	6	8	2
Vardas618	Pavarde618	4	7	7	4
Vardas619	Pavarde619	10	7	9	2
Vardas620	Pavarde620	10	7	3	7
Vardas621	Pavarde621	1	5	1	10
Vardas622	Pavarde622	6	9	5	4
Vardas623	Pavarde623	9	8	7	7
Vardas624	Pavarde624	9	4	9	8
Vardas625	Pavarde625	4	3	8	7
Vardas626	Pavarde626	7	5	10	1
Vardas627	Pavarde627	6	8	5	2
Vardas628	Pavarde628	4	7	6	9
Vardas629	Pavarde629	1	1	6	7
Vardas630	Pavarde630	5	8	3	10
Vardas631	Pavarde631	6	7	9	2
Vardas632	Pavarde632	1	8	4	9
Vardas633	Pavarde633	10	8	5	3
Vardas634	Pavarde634	2	1	7	3
Vardas635	Pavarde635	1	3	8	3
Vardas636	Pavarde636	4	7	2	8
Vardas637	Pavarde637	4	10	5	9
Vardas638	Pavarde638	9	9	8	5
Vardas639	Pavarde639	5	10	8	7
Vardas640	Pavarde640	1	3	6	1
Vardas641	Pavarde641	7	8	6	3
Vardas642	Pavarde642	1	8	10	5
Vardas643	Pavarde643	3	9	7	5
Vardas644	Pavarde644	3	1	2	5
Vardas645	Pavarde645	9	10	9	6
Vardas646	Pavarde646	6	3	8	7
Vardas647	Pavarde647	2	5	3	7
Vardas648	Pavarde648	1	6	4	9
Vardas649	Pavarde649	6	7	8	8
Vardas650	Pavarde650	6	4	1	3
Vardas651	Pavarde651	3	4	4	3
Vardas652	Pavarde652	3	9	5	10
Vardas653	Pavarde653	5	5	6	10
Vardas654	Pavarde654	1	10	8	10
Vardas655	Pavarde655	3	6	7	5
Vardas656	Pavarde656	10	3	5	3
Vardas657	Pavarde657	1	7	6	6
Vardas658	Pavarde658	8	4	1	3
Vardas659	Pavarde659	1	4	9	1
Vardas660	Pavarde660	10	2	6	5
Vardas661	Pavarde661	7	3	5	10
Vardas662	Pavarde662	5	4	9	9
Vardas663	Pavarde663	4	7	3	8
Vardas664	Pavarde664	4	10	6	9
